S.NAME G.ID ID CHR P0 P1 BLOCK TWAS.Z BF PIP
TCGA.PRAD_SP.TUMOR ITGA6 chr2:173352766:173352854 2 1.73e+08 1.73e+08 300 13.30441 1.31254186205727e+35 0.346439122542533
TCGA.PRAD_SP.TUMOR ITGA6 chr2:173352956:173354213 2 1.73e+08 1.73e+08 300 13.35173 2.35749827937995e+35 0.622250351713571
YFS.BLOOD.RNAARR CFLAR CFLAR 2 2.02e+08 2.02e+08 326 5.1574 61691.5639575678 0.0126483753055102
GTEx.Adipose_Visceral_Omentum CASP8 CASP8 2 2.02e+08 2.02e+08 326 5.1729 66452.5700495545 0.0136245053955932
NTR.BLOOD.RNAARR CASP10 CASP10 2 2.02e+08 2.02e+08 326 5.1928 73131.5683261442 0.0149938737735009
GTEx.Brain_Cerebellar_Hemisphere CASP8 CASP8 2 2.02e+08 2.02e+08 326 -5.1948 73840.3812486075 0.0151391988599403
GTEx.Adipose_Subcutaneous ALS2CR12 ALS2CR12 2 2.02e+08 2.02e+08 326 -5.1995 75534.356131633 0.0154865077739005
GTEx.Brain_Putamen_basal_ganglia ALS2CR12 ALS2CR12 2 2.02e+08 2.02e+08 326 -5.2073 78435.3786381922 0.0160812928478846
GTEx.Nerve_Tibial ALS2CR12 ALS2CR12 2 2.02e+08 2.02e+08 326 -5.21826 82708.8236032987 0.0169574602247286
GTEx.Adipose_Subcutaneous CASP8 CASP8 2 2.02e+08 2.02e+08 326 5.2352 89796.208548477 0.0184105584924739
NTR.BLOOD.RNAARR CASP8 CASP8 2 2.02e+08 2.02e+08 326 5.2457 94503.5255161575 0.019375680915536
GTEx.Brain_Cortex ALS2CR12 ALS2CR12 2 2.02e+08 2.02e+08 326 -5.2472 95196.6446792401 0.019517788373083
GTEx.Heart_Atrial_Appendage ALS2CR12 ALS2CR12 2 2.02e+08 2.02e+08 326 -5.29231 118709.987744695 0.0243386353203843
GTEx.Pancreas CASP8 CASP8 2 2.02e+08 2.02e+08 326 5.30203 124523.466460608 0.0255305496748338
GTEx.Lung CASP8 CASP8 2 2.02e+08 2.02e+08 326 5.31602 133414.685106732 0.0273534807718129
GTEx.Thyroid ALS2CR12 ALS2CR12 2 2.02e+08 2.02e+08 326 -5.35176 159250.555089722 0.0326505061497722
GTEx.Artery_Tibial ALS2CR12 ALS2CR12 2 2.02e+08 2.02e+08 326 -5.38453 187509.141343992 0.0384442513819886
METSIM.ADIPOSE.RNASEQ CASP8 CASP8 2 2.02e+08 2.02e+08 326 5.4033 205992.484210762 0.0422338174503757
GTEx.Colon_Transverse CASP8 CASP8 2 2.02e+08 2.02e+08 326 5.41795 221726.248782759 0.045459648447496
GTEx.Cells_Transformed_fibroblasts CASP8 CASP8 2 2.02e+08 2.02e+08 326 5.42077 224895.193862523 0.0461093646180729
GTEx.Brain_Frontal_Cortex_BA9 CASP8 CASP8 2 2.02e+08 2.02e+08 326 -5.4725 292148.899137824 0.0598981235737263
GTEx.Muscle_Skeletal CASP8 CASP8 2 2.02e+08 2.02e+08 326 5.4961 329457.748964699 0.0675474082498582
GTEx.Brain_Frontal_Cortex_BA9 ALS2CR12 ALS2CR12 2 2.02e+08 2.02e+08 326 -5.5041 343197.472717599 0.0703644090109386
GTEx.Whole_Blood CASP8 CASP8 2 2.02e+08 2.02e+08 326 5.50743 349090.295684504 0.0715725910007095
GTEx.Testis ALS2CR12 ALS2CR12 2 2.02e+08 2.02e+08 326 -5.51242 358117.536470806 0.0734234101745741
GTEx.Breast_Mammary_Tissue CASP8 CASP8 2 2.02e+08 2.02e+08 326 5.6079 586296.147031688 0.120205960622622
TCGA.PRAD_SP.TUMOR MLPH chr2:238434448:238436020 2 2.38e+08 2.38e+08 356 -6.59005 152675258.347198 0.045004317553817
TCGA.PRAD_SP.TUMOR MLPH chr2:238455326:238457864 2 2.38e+08 2.38e+08 356 -6.64576 215005180.668724 0.0633774033283545
TCGA.PRAD_SP.TUMOR MLPH chr2:238451302:238455249 2 2.38e+08 2.38e+08 356 -6.70163 303957732.419552 0.0895980819736975
TCGA.PRAD_SP.TUMOR MLPH chr2:238449176:238451210 2 2.38e+08 2.38e+08 356 -6.73093 364898576.758537 0.107561707123704
TCGA.PRAD_SP.TUMOR MLPH chr2:238436159:238448991 2 2.38e+08 2.38e+08 356 -6.77336 476110101.479601 0.140343697004534
TCGA.PRAD.TUMOR MLPH MLPH 2 2.38e+08 2.38e+08 356 -6.77403 478120761.1986 0.140936382220633
TCGA.PRAD_SP.TUMOR MLPH chr2:238449176:238449445 2 2.38e+08 2.38e+08 356 -6.77887 492906076.406017 0.145294672017757
TCGA.PRAD_SP.TUMOR MLPH chr2:238428672:238434244 2 2.38e+08 2.38e+08 356 -6.83626 708463572.536679 0.208834882212843
METSIM.ADIPOSE.RNASEQ ANO7 ANO7 2 2.42e+08 2.42e+08 360 7.8312 620656291293.88 0.999790916577565
TCGA.PRAD_SP.TUMOR Y_RNA chr3:152165562:152173331 3 1.52e+08 1.52e+08 59 5.67816 847240.307910196 0.999977768842008
GTEx.Thyroid DALRD3 DALRD3 3 49100000 49100000 398 -4.0592 561.468477239884 0.00293834107095561
GTEx.Colon_Sigmoid KLHDC8B KLHDC8B 3 49200000 49200000 398 4.0625 568.498819674416 0.00297513306330364
GTEx.Artery_Aorta NICN1-AS1 NICN1-AS1 3 49500000 49500000 398 -4.075723 597.624017257035 0.00312755437941636
GTEx.Pancreas AMT AMT 3 49500000 49500000 398 -4.09477 642.40280865637 0.00336189587356974
GTEx.Adipose_Visceral_Omentum LAMB2 LAMB2 3 49200000 49200000 398 4.098 650.344201670469 0.00340345568004122
GTEx.Adipose_Visceral_Omentum PRKAR2A PRKAR2A 3 48800000 48900000 398 4.1057 669.700093990924 0.00350475115018012
GTEx.Artery_Tibial AMT AMT 3 49500000 49500000 398 -4.1099 680.515372105356 0.00356135090095093
GTEx.Esophagus_Muscularis NICN1-AS1 NICN1-AS1 3 49500000 49500000 398 -4.1187 703.783035068692 0.00368311789675168
GTEx.Esophagus_Muscularis AMT AMT 3 49500000 49500000 398 -4.12149 711.33544287843 0.00372264202134911
GTEx.Artery_Coronary AMT AMT 3 49500000 49500000 398 -4.122098 712.99268146531 0.00373131487192149
GTEx.Lung NICN1-AS1 NICN1-AS1 3 49500000 49500000 398 -4.13867 759.781342797024 0.00397617464734797
GTEx.Esophagus_Muscularis GPX1 GPX1 3 49400000 49400000 398 4.14287 772.150661246217 0.00404090717979158
GTEx.Cells_Transformed_fibroblasts NICN1 NICN1 3 49500000 49500000 398 -4.15845 819.937304337501 0.00429098970753824
GTEx.Esophagus_Mucosa QRICH1 QRICH1 3 49100000 49100000 398 4.15865 820.570788263659 0.00429430492809553
GTEx.Artery_Coronary NICN1 NICN1 3 49500000 49500000 398 -4.192834 936.873040180751 0.00490295117860732
GTEx.Esophagus_Muscularis NICN1 NICN1 3 49500000 49500000 398 -4.20111 967.582707693953 0.00506366452403505
GTEx.Uterus NCKIPSD NCKIPSD 3 48700000 48700000 398 -4.215 1021.5494266984 0.00534608933209374
METSIM.ADIPOSE.RNASEQ PRKAR2A PRKAR2A 3 48800000 48900000 398 4.21956 1039.95525579435 0.0054424128226724
GTEx.Thyroid NICN1-AS1 NICN1-AS1 3 49500000 49500000 398 -4.2303 1084.70961180535 0.00567662643875595
GTEx.Thyroid NICN1 NICN1 3 49500000 49500000 398 -4.2668 1252.70825360141 0.00655581615120568
GTEx.Heart_Left_Ventricle DAG1 DAG1 3 49500000 49600000 398 -4.2735 1286.43424991387 0.00673231489359449
GTEx.Spleen AMT AMT 3 49500000 49500000 398 -4.29216 1385.53098792994 0.00725091928033007
GTEx.Ovary NICN1 NICN1 3 49500000 49500000 398 -4.2966 1410.28042304821 0.007380440855697
CMC.BRAIN.RNASEQ GPX1 GPX1 3 49400000 49400000 398 4.30675 1468.63273112617 0.00768581683023679
GTEx.Adipose_Subcutaneous NICN1 NICN1 3 49500000 49500000 398 -4.32359 1571.15148870771 0.00822232972126503
GTEx.Vagina AMT AMT 3 49500000 49500000 398 -4.3399 1677.68196995376 0.00877983722354317
GTEx.Colon_Sigmoid AMT AMT 3 49500000 49500000 398 -4.3499 1746.75286886921 0.00914130695393447
GTEx.Brain_Cerebellar_Hemisphere NCKIPSD NCKIPSD 3 48700000 48700000 398 -4.39748 2119.10627876969 0.0110899494184223
GTEx.Brain_Cortex AMT AMT 3 49500000 49500000 398 -4.3993 2134.91687667649 0.0111726912482295
GTEx.Artery_Aorta NICN1 NICN1 3 49500000 49500000 398 -4.418087 2305.5924815261 0.0120658903499941
GTEx.Nerve_Tibial NICN1 NICN1 3 49500000 49500000 398 -4.4205 2328.53599951683 0.0121859609932398
GTEx.Thyroid GPX1 GPX1 3 49400000 49400000 398 4.4277 2398.43876784817 0.0125517841578299
GTEx.Adipose_Subcutaneous NICN1-AS1 NICN1-AS1 3 49500000 49500000 398 -4.42791 2400.51052685844 0.012562626324106
GTEx.Cells_EBV-transformed_lymphocytes AMT AMT 3 49500000 49500000 398 -4.4476 2603.40302445339 0.0136244265548201
GTEx.Nerve_Tibial NICN1-AS1 NICN1-AS1 3 49500000 49500000 398 -4.50899 3360.55000067608 0.0175868147336215
GTEx.Brain_Cerebellum GPX1 GPX1 3 49400000 49400000 398 4.5179 3488.41319483655 0.0182559630297328
GTEx.Testis GPX1 GPX1 3 49400000 49400000 398 4.53253 3709.59240472411 0.0194134633753425
GTEx.Skin_Sun_Exposed_Lower_leg KLHDC8B KLHDC8B 3 49200000 49200000 398 4.5595 4156.90354926363 0.0217543832324249
GTEx.Cells_Transformed_fibroblasts TCTA TCTA 3 49500000 49500000 398 -4.60204 4981.43208493522 0.0260694002970492
GTEx.Brain_Frontal_Cortex_BA9 GPX1 GPX1 3 49400000 49400000 398 4.6624 6458.17474396052 0.0337976589297994
GTEx.Colon_Sigmoid GPX1 GPX1 3 49400000 49400000 398 4.6988 7565.14118884637 0.0395907623737673
GTEx.Nerve_Tibial GPX1 GPX1 3 49400000 49400000 398 4.76737 10225.8279808318 0.0535149728944939
GTEx.Cells_EBV-transformed_lymphocytes KLHDC8B KLHDC8B 3 49200000 49200000 398 4.9843 27305.2911381611 0.142897173497739
GTEx.Adipose_Visceral_Omentum RHOA RHOA 3 49400000 49400000 398 5.1443 57944.7971304994 0.303243341627519
METSIM.ADIPOSE.RNASEQ CHMP2B CHMP2B 3 87300000 87300000 422 11.57254 2.6969224739333e+26 0.991877984700988
GTEx.Ovary WDR52 WDR52 3 1.13e+08 1.13e+08 435 10.0886 89020795511490871296 0.999999864248698
GTEx.Nerve_Tibial EEFSEC EEFSEC 3 1.28e+08 1.28e+08 448 -11.2542 9.23936358889646e+24 0.30663877649796
GTEx.Esophagus_Muscularis EEFSEC EEFSEC 3 1.28e+08 1.28e+08 448 -11.33074 2.06158689109198e+25 0.684205655342311
NTR.BLOOD.RNAARR ZBTB38 ZBTB38 3 1.41e+08 1.41e+08 460 5.1372 56013.8260130975 0.122506095630512
GTEx.Adipose_Subcutaneous ZBTB38 ZBTB38 3 1.41e+08 1.41e+08 460 5.53454 401141.216388198 0.877323470185767
TCGA.PRAD.TUMOR MBNL1 MBNL1 3 1.52e+08 1.52e+08 470 5.93003 3292630.15560297 0.493583750629675
CMC.BRAIN.RNASEQ MBNL1 MBNL1 3 1.52e+08 1.52e+08 470 -5.93221 3332400.67033203 0.499545574125411
GTEx.Stomach GPR160 GPR160 3 1.7e+08 1.7e+08 484 -10.0725 76566969591340367872 0.131565424611534
YFS.BLOOD.RNAARR PHC3 PHC3 3 1.7e+08 1.7e+08 484 10.27178 5.02942922489572e+20 0.864209456190752
GTEx.Cells_Transformed_fibroblasts PDLIM5 PDLIM5 4 95400000 95600000 566 10.9084 2.63228600116173e+23 0.997655418787085
GTEx.Heart_Atrial_Appendage PPA2 PPA2 4 1.06e+08 1.06e+08 573 7.4414 39125096782.5115 0.996749278003586
TCGA.PRAD.TUMOR GSTCD GSTCD 4 1.07e+08 1.07e+08 574 5.89982 2789215.47266916 0.999402867909598
TCGA.PRAD_SP.TUMOR IRX4 chr5:1880948:1881922 5 1880000 1880000 633 -9.87586 12390592368217870336 0.974410467497912
GTEx.Heart_Left_Ventricle COL23A1 COL23A1 5 1.78e+08 1.78e+08 756 5.29648 121168.736974948 0.995094246714527
GTEx.Whole_Blood UHRF1BP1 UHRF1BP1 6 34800000 34800000 780 5.3555 162239.099875321 0.0113566176688187
GTEx.Nerve_Tibial UHRF1BP1 UHRF1BP1 6 34800000 34800000 780 5.36842 173018.64658121 0.012111178010167
GTEx.Esophagus_Mucosa SNRPC SNRPC 6 34700000 34700000 780 -5.37205 176179.066344746 0.0123324050692116
GTEx.Adipose_Subcutaneous SNRPC SNRPC 6 34700000 34700000 780 -5.37255 176619.055143864 0.01236320396155
GTEx.Brain_Caudate_basal_ganglia SNRPC SNRPC 6 34700000 34700000 780 -5.373 177016.019615681 0.0123909911826206
NTR.BLOOD.RNAARR UHRF1BP1 UHRF1BP1 6 34800000 34900000 780 5.39994 202549.971574446 0.0141783490402056
GTEx.Small_Intestine_Terminal_Ileum UHRF1BP1 UHRF1BP1 6 34800000 34800000 780 5.427 232063.644399499 0.0162442844314542
GTEx.Vagina UHRF1BP1 UHRF1BP1 6 34800000 34800000 780 5.434 240401.372854286 0.0168279192911164
GTEx.Brain_Caudate_basal_ganglia UHRF1BP1 UHRF1BP1 6 34800000 34800000 780 5.4394 247045.141859962 0.017292978235202
GTEx.Brain_Cerebellar_Hemisphere UHRF1BP1 UHRF1BP1 6 34800000 34800000 780 5.45475 266990.039666678 0.0186891064127412
GTEx.Esophagus_Muscularis SNRPC SNRPC 6 34700000 34700000 780 -5.46 274188.563104813 0.019192997759092
GTEx.Muscle_Skeletal SNRPC SNRPC 6 34700000 34700000 780 -5.4817 306143.419617187 0.0214298142130287
GTEx.Brain_Putamen_basal_ganglia UHRF1BP1 UHRF1BP1 6 34800000 34800000 780 5.4884 316770.814736471 0.022173724055218
TCGA.PRAD_SP.TUMOR UHRF1BP1 chr6:34802183:34802498 6 34800000 34800000 780 5.497273 331436.151900097 0.0232002868707144
GTEx.Artery_Aorta UHRF1BP1 UHRF1BP1 6 34800000 34800000 780 5.5022 339881.448111558 0.0237914513942306
GTEx.Artery_Tibial UHRF1BP1 UHRF1BP1 6 34800000 34800000 780 5.50224 339950.916159896 0.0237963141065224
CMC.BRAIN.RNASEQ UHRF1BP1 UHRF1BP1 6 34800000 34900000 780 5.503 341273.606442868 0.0238889014535276
GTEx.Thyroid SNRPC SNRPC 6 34700000 34700000 780 -5.50434 343618.715832357 0.0240530573860276
GTEx.Adipose_Subcutaneous UHRF1BP1 UHRF1BP1 6 34800000 34800000 780 5.50834 350718.805496533 0.0245500584405967
GTEx.Esophagus_Muscularis UHRF1BP1 UHRF1BP1 6 34800000 34800000 780 5.5095 352806.120480066 0.0246961689542805
GTEx.Artery_Coronary UHRF1BP1 UHRF1BP1 6 34800000 34800000 780 5.5121 357531.445603517 0.0250269382375737
GTEx.Skin_Sun_Exposed_Lower_leg SNRPC SNRPC 6 34700000 34700000 780 -5.5148 362507.920888051 0.0253752878474286
GTEx.Esophagus_Mucosa UHRF1BP1 UHRF1BP1 6 34800000 34800000 780 5.52096 374131.970840057 0.0261889627948958
METSIM.ADIPOSE.RNASEQ UHRF1BP1 UHRF1BP1 6 34800000 34900000 780 5.52258 377252.573028167 0.0264074026529454
GTEx.Nerve_Tibial SNRPC SNRPC 6 34700000 34700000 780 -5.52538 382709.901984892 0.0267894116661988
YFS.BLOOD.RNAARR UHRF1BP1 UHRF1BP1 6 34800000 34900000 780 5.52562 383181.460142836 0.0268224203904366
GTEx.Adipose_Visceral_Omentum UHRF1BP1 UHRF1BP1 6 34800000 34800000 780 5.52577 383476.48941746 0.0268430722226743
GTEx.Artery_Tibial SNRPC SNRPC 6 34700000 34700000 780 -5.54192 416658.20144754 0.0291657676605315
GTEx.Stomach UHRF1BP1 UHRF1BP1 6 34800000 34800000 780 5.56388 466611.865332948 0.0326624873929464
TCGA.PRAD_SP.TUMOR RP3-391O22.2 chr6:34574681:34622402 6 34600000 34600000 780 5.758074 1295046.84105875 0.0906523264023172
GTEx.Colon_Transverse UHRF1BP1 UHRF1BP1 6 34800000 34800000 780 5.9035 2846036.08564791 0.199220432813073
GTEx.Esophagus_Mucosa FOXP4 FOXP4 6 41500000 41600000 786 -6.74871 407847720.748037 0.999999001248451
TCGA.PRAD.TUMOR IMPG1 IMPG1 6 76600000 76800000 807 -5.07668 42039.2252352255 0.95156550249816
TCGA.PRAD_SP.TUMOR SESN1 chr6:109322691:109323481 6 1.09e+08 1.09e+08 827 5.753562 1264190.03971396 0.156545612926763
YFS.BLOOD.RNAARR SESN1 SESN1 6 1.09e+08 1.09e+08 827 5.77658 1429969.95887432 0.177074266246782
TCGA.PRAD_SP.TUMOR SESN1 chr6:109312038:109313990 6 1.09e+08 1.09e+08 827 5.788077 1521024.82746952 0.18834965979238
TCGA.PRAD.TUMOR SESN1 SESN1 6 1.09e+08 1.09e+08 827 5.78814 1521539.94029317 0.188413446604626
TCGA.PRAD_SP.TUMOR SESN1 chr6:109321876:109322491 6 1.09e+08 1.09e+08 827 5.800991 1630472.58887684 0.201902659226586
TCGA.PRAD_SP.TUMOR RWDD1 chr6:116895334:116901458 6 1.17e+08 1.17e+08 833 -9.318459 86257000436405184 0.999999999872185
TCGA.PRAD.TUMOR RGS17 RGS17 6 1.53e+08 1.53e+08 867 9.30511 76853959594102368 0.12967968245288
TCGA.PRAD_SP.TUMOR RGS17 chr6:153347678:153365035 6 1.53e+08 1.53e+08 867 9.399584 174574162123791296 0.294568061662083
TCGA.PRAD_SP.TUMOR RGS17 chr6:153332897:153345397 6 1.53e+08 1.53e+08 867 9.458179 291596711943750976 0.492026295182211
GTEx.Thyroid WTAP WTAP 6 1.6e+08 1.6e+08 873 -8.31137 22686801237693.5 0.996773413652015
GTEx.Brain_Frontal_Cortex_BA9 SLC22A3 SLC22A3 6 1.61e+08 1.61e+08 874 12.3026 8.8197030840125e+29 0.941241738299828
YFS.BLOOD.RNAARR TAX1BP1 TAX1BP1 7 27800000 27900000 905 9.67 1913216945377312256 0.999971636152158
TCGA.PRAD_SP.TUMOR ASNS chr7:97482698:97483892 7 97500000 97500000 951 5.32387 138689.942180526 0.999346488213664
GTEx.Thyroid LMTK2 LMTK2 7 97700000 97800000 952 11.50386 1.29210262719415e+26 0.999382329748153
GTEx.Brain_Putamen_basal_ganglia LOXL2 LOXL2 8 23200000 23300000 1020 7.258 11191003678.4351 0.999491188139507
NTR.BLOOD.RNAARR NKX3-1 NKX3-1 8 23500000 23500000 1021 9.7848 5396372291113784320 0.999999999914921
TCGA.PRAD.TUMOR EBF2 EBF2 8 25700000 25900000 1022 -7.13904 5052792830.34709 0.999999997846421
TCGA.PRAD_SP.TUMOR RP11-89K10.1 chr8:127569730:127570279 8 1.28e+08 1.28e+08 1094 7.89221 968898527177.62 0.999727385656226
GTEx.Skin_Sun_Exposed_Lower_leg PVT1 PVT1 8 1.29e+08 1.29e+08 1095 -6.31559 29481858.8807271 0.999874181998774
GTEx.Brain_Cerebellum FAM83H FAM83H 8 1.45e+08 1.45e+08 1106 -4.8527 14969.8742460074 0.143020643396173
CMC.BRAIN.RNASEQ FAM83H FAM83H 8 1.45e+08 1.45e+08 1106 -5.2334 89014.0297350972 0.850430911762342
TCGA.PRAD.TUMOR HAUS6 HAUS6 9 19100000 19100000 1121 -7.10723 4094067530.48633 0.101128373473063
GTEx.Cells_Transformed_fibroblasts HAUS6 HAUS6 9 19100000 19100000 1121 -7.12107 4486020351.08033 0.110810077775615
GTEx.Adipose_Subcutaneous HAUS6 HAUS6 9 19100000 19100000 1121 -7.39747 28907742623.73 0.714055879769155
METSIM.ADIPOSE.RNASEQ UBE2R2 UBE2R2 9 33800000 33900000 1129 -4.80538 12107.8230941676 0.077290877213224
CMC.BRAIN.RNASEQ UBE2R2 UBE2R2 9 33800000 33900000 1129 4.9746 26107.6893094161 0.166659703651195
METSIM.ADIPOSE.RNASEQ RP11-384P7.7 RP11-384P7.7 9 33700000 33700000 1129 5.27195 107428.015522987 0.685771958548617
TCGA.PRAD_SP.TUMOR TLE4 chr9:82335208:82336656 9 82300000 82300000 1144 5.119879 51578.8767315994 0.0451365760354397
TCGA.PRAD_SP.TUMOR TLE4 chr9:82189851:82191048 9 82200000 82200000 1144 5.126952 53344.0112859224 0.0466812418962061
TCGA.PRAD_SP.TUMOR TLE4 chr9:82323165:82323508 9 82300000 82300000 1144 5.131416 54490.3116816565 0.0476843671724843
TCGA.PRAD_SP.TUMOR TLE4 chr9:82324614:82333637 9 82300000 82300000 1144 5.138589 56386.2501029383 0.049343499246182
TCGA.PRAD_SP.TUMOR TLE4 chr9:82320857:82321662 9 82300000 82300000 1144 5.152824 60354.9150984397 0.052816470366914
TCGA.PRAD_SP.TUMOR TLE4 chr9:82319817:82320804 9 82300000 82300000 1144 5.162791 63305.8830668613 0.0553988567724559
TCGA.PRAD_SP.TUMOR TLE4 chr9:82321814:82323033 9 82300000 82300000 1144 5.162791 63305.8830668613 0.0553988567724559
TCGA.PRAD_SP.TUMOR TLE4 chr9:82323701:82324538 9 82300000 82300000 1144 5.162791 63305.8830668613 0.0553988567724559
TCGA.PRAD_SP.TUMOR TLE4 chr9:82337950:82339952 9 82300000 82300000 1144 5.162791 63305.8830668613 0.0553988567724559
TCGA.PRAD_SP.TUMOR TLE4 chr9:82337516:82337874 9 82300000 82300000 1144 5.163578 63545.1988590002 0.0556082815628516
TCGA.PRAD.TUMOR TLE4 TLE4 9 82200000 82300000 1144 5.25785 100272.192840723 0.0877480035082421
TCGA.PRAD_SP.TUMOR TLE4 chr9:82336803:82337366 9 82300000 82300000 1144 5.28029 111908.411352697 0.0979308359953426
TCGA.PRAD_SP.TUMOR TLE4 chr9:82268990:82319698 9 82300000 82300000 1144 5.286472 115354.460393588 0.100946466897222
TCGA.PRAD_SP.TUMOR TLE4 chr9:82333886:82334961 9 82300000 82300000 1144 5.350559 158303.027308986 0.138530675376163
TCGA.PRAD_SP.TUMOR STXBP1 chr9:130422387:130423381 9 1.3e+08 1.3e+08 1182 5.06442 39681.239791803 0.03327474520173
TCGA.PRAD_SP.TUMOR STXBP1 chr9:130438221:130438923 9 1.3e+08 1.3e+08 1182 5.114221 50210.6910584604 0.0421042275931656
TCGA.PRAD.TUMOR STXBP1 STXBP1 9 1.3e+08 1.3e+08 1182 5.1285 53738.6487144035 0.0450626001818227
